Date,above_20,above_60,above_120,above_200
2024-07-16,36.28429503881486,41.176101841377765,41.968862591090684,43.97151067631187
2024-07-17,36.59494742835851,41.06481673542315,41.89312493539567,43.89562115479335
2024-07-18,36.77878100771448,40.958803543056014,41.81745236505359,43.774117648428444
2024-07-19,36.515217871017015,40.57839050272826,41.55886825785541,43.551048448813404
2024-07-22,36.1557080765392,40.10166198762021,41.27508527151378,43.323021914816714
2024-07-23,36.10153536778227,39.797941188163804,41.09823752003916,43.14592466948919
2024-07-24,35.86933252363912,39.34170371167046,40.789136331407065,42.89252569540791
2024-07-25,35.34292218912645,38.60632600401131,40.475186283981536,42.58342450677581
2024-07-26,35.3956738676777,38.247000618033475,40.31880787600398,42.48780327576013
2024-07-29,35.53520140082225,37.90912533334968,40.1784576824623,42.32166917345581
2024-07-30,35.519863264386906,37.44174198590547,39.94918579250329,42.076729352799006
2024-07-31,36.0169713471577,37.3245677063978,39.97362841316744,42.0957979489243
2024-08-01,36.98572307046788,37.48142002020192,40.15538830348111,42.292479677997775
2024-08-02,36.70260821231726,36.953960052359555,39.92679762790027,42.13430818714389
2024-08-05,35.482391067124524,35.656814340604065,38.73566184889919,41.145401168581344
2024-08-06,34.28698418210162,34.414922683966395,37.72668603849737,40.41967537791311
2024-08-07,33.263427140129075,33.39074930517551,36.89483677934504,39.779971825109804
2024-08-08,32.34607466359043,32.41197399887234,36.08302387325207,39.155254988626126
2024-08-09,31.582275336301556,31.5466523224088,35.354329092704084,38.644208397871694
2024-08-12,30.98546563750937,30.772483652082617,34.716733311298476,38.16853638883308
2024-08-13,30.144868363350422,29.866332687409674,34.00812913288529,37.596483496542476
2024-08-14,29.587980635251878,29.071652160387814,33.42114870718055,37.12075748050888
2024-08-16,29.375527918375983,28.388398865421053,32.86954286319164,36.644988258879295
2024-08-19,29.2626869312666,27.76466054429597,32.31637601617145,36.23344990648502
2024-08-20,29.742374420645266,27.48045943701276,31.996346978337783,35.974000876504256
2024-08-21,30.774721630787276,27.363771843295563,31.77282298819071,35.77041126421955
2024-08-22,31.630081777288495,27.1611047692015,31.508960880783313,35.52135832250421
2024-08-23,32.52091378696836,27.034506633635,31.305856814914733,35.307744874206435
2024-08-26,33.81787839894286,27.24290315543944,31.173955433492015,35.195729316004474
2024-08-27,34.855545039821614,27.29379381481039,30.970997031548276,35.027757230823234
2024-08-28,35.3342980532254,27.109829483605683,30.57933259902645,34.711913752318935
2024-08-29,35.874051295965515,26.976625999847112,30.273825405080068,34.38096422461177
2024-08-30,36.49955263268398,26.833150833309112,29.892281917854532,34.03474714325552
2024-09-02,36.790734382250875,26.50230359175121,29.35378840979492,33.561932109990984
